PIDN,ARC_L__median_len_clean,ARC_R__median_len_clean,ATR_L__median_len_clean,ATR_R__median_len_clean,CGC_L__median_len_clean,CGC_R__median_len_clean,CST_L__median_len_clean,CST_R__median_len_clean,FA__median_len_clean,FP__median_len_clean,IFO_L__median_len_clean,IFO_R__median_len_clean,ILF_L__median_len_clean,ILF_R__median_len_clean,SLF_L__median_len_clean,SLF_R__median_len_clean,UNC_L__median_len_clean,UNC_R__median_len_clean,VOF_L__median_len_clean,VOF_R__median_len_clean,pARC_L__median_len_clean,pARC_R__median_len_clean,whole_brain__median_len_clean,ARC_L__n_streamlines_clean,ARC_R__n_streamlines_clean,ATR_L__n_streamlines_clean,ATR_R__n_streamlines_clean,CGC_L__n_streamlines_clean,CGC_R__n_streamlines_clean,CST_L__n_streamlines_clean,CST_R__n_streamlines_clean,FA__n_streamlines_clean,FP__n_streamlines_clean,IFO_L__n_streamlines_clean,IFO_R__n_streamlines_clean,ILF_L__n_streamlines_clean,ILF_R__n_streamlines_clean,SLF_L__n_streamlines_clean,SLF_R__n_streamlines_clean,UNC_L__n_streamlines_clean,UNC_R__n_streamlines_clean,VOF_L__n_streamlines_clean,VOF_R__n_streamlines_clean,pARC_L__n_streamlines_clean,pARC_R__n_streamlines_clean,whole_brain__n_streamlines_clean,ARC_L__FA_median,ARC_L__MD_median,ARC_R__FA_median,ARC_R__MD_median,ATR_L__FA_median,ATR_L__MD_median,ATR_R__FA_median,ATR_R__MD_median,CGC_L__FA_median,CGC_L__MD_median,CGC_R__FA_median,CGC_R__MD_median,CST_L__FA_median,CST_L__MD_median,CST_R__FA_median,CST_R__MD_median,FA__FA_median,FA__MD_median,FP__FA_median,FP__MD_median,IFO_L__FA_median,IFO_L__MD_median,IFO_R__FA_median,IFO_R__MD_median,ILF_L__FA_median,ILF_L__MD_median,ILF_R__FA_median,ILF_R__MD_median,SLF_L__FA_median,SLF_L__MD_median,SLF_R__FA_median,SLF_R__MD_median,UNC_L__FA_median,UNC_L__MD_median,UNC_R__FA_median,UNC_R__MD_median,VOF_L__FA_median,VOF_L__MD_median,VOF_R__FA_median,VOF_R__MD_median,pARC_L__FA_median,pARC_L__MD_median,pARC_R__FA_median,pARC_R__MD_median
33969,195,189,135,146,180,178,194,212,171,275,278,271,184,187,133,122,121,142,84,95,120,121,157,3859,2277,2927,2407,1120,1995,3662,3636,1118,263,900,1239,1427,877,997,2220,2185,2502,3184,2826,1200,1372,44193,0.53097403,0.00064575,0.5416724,0.00064647,0.4049765,0.00058185,0.39597938,0.00058425,0.44718483,0.00058953,0.44363424,0.00061584,0.51054289,0.00056781,0.54023591,0.00057724,0.48495058,0.00064778,0.71855445,0.00068841,0.52007937,0.00066157,0.50088357,0.00065583,0.51373053,0.00068564,0.52717477,0.00067945,0.50291075,0.00060748,0.51213376,0.00061251,0.37309848,0.00066706,0.44594359,0.00066763,0.50377871,0.00067419,0.48483292,0.00066732,0.5281695,0.00066356,0.52838314,0.0006561
34360,186,212,158,158,184,198.5,205,226,183,243,270,249,189,177,152,118,166,166,77,82,114,119,169,1181,931,2168,1606,2467,1086,3617,2180,1364,110,266,527,389,191,854,1586,1914,1573,1560,2702,1293,800,30365,0.45644071,0.00066905,0.45059392,0.00068377,0.37331755,0.00057946,0.39042002,0.00058597,0.45386635,0.0005889,0.42220848,0.00061345,0.48616784,0.00054002,0.47266069,0.00055743,0.400383,0.00065681,0.60058579,0.00068767,0.45685317,0.00068014,0.46703893,0.00069265,0.43862664,0.0007464,0.41377246,0.0007492,0.4054995,0.00063265,0.43361523,0.00066444,0.36769154,0.00064547,0.37685897,0.0006483,0.4598416,0.00068675,0.44394247,0.00070358,0.4699057,0.00068862,0.46333289,0.00068904
34119,186,199,144,146,181,187,200,186,163,262,276,252,193,198,139,134,141.5,121,78,77,102,119,165,2763,1059,2069,1091,1984,1537,2936,3116,2132,192,467,758,1002,1257,919,2058,1748,2871,1528,1449,586,200,33722,0.48583078,0.0006171,0.47891002,0.00063494,0.37450816,0.00057027,0.37511849,0.0005746,0.51378671,0.00058047,0.47117532,0.00058934,0.49831411,0.00054347,0.5210449,0.00055062,0.44855007,0.00063171,0.71037091,0.00067597,0.47150085,0.00065437,0.49354299,0.00064769,0.50023146,0.00066369,0.48437887,0.00066375,0.43521649,0.00059426,0.48305081,0.00057646,0.36479013,0.00064401,0.40241072,0.00064626,0.46423212,0.00063949,0.51929523,0.00064151,0.47116708,0.00063903,0.48355608,0.00064603
27270,183,208,139,142,183,167,208,215,174,348,283,265,197,194,121,127,158,139,111,119,122,138.5,165,2762,2085,1671,1898,3459,1999,3412,3206,2359,2,474,830,225,385,615,1274,249,1014,3641,1331,2798,2186,37875,0.54530865,0.00061426,0.53742538,0.00063035,0.41259977,0.00059717,0.44132834,0.00059321,0.54891017,0.00056929,0.57360142,0.00056756,0.53948264,0.00055597,0.55662852,0.0005692,0.46179135,0.0006128,0.57467901,0.00064674,0.54871414,0.00064302,0.50061531,0.00063881,0.49519877,0.0006782,0.46440865,0.00065614,0.52880863,0.00060076,0.51625738,0.00059898,0.43407322,0.00064522,0.43207439,0.000632,0.5012173,0.00062923,0.53575179,0.00063151,0.54253893,0.00061787,0.52437184,0.00063538
33682,192,170,139,137,168,183,223,215,170,260,269,255,187,201,143,135,110,116,84,80,118,125,163,2113,433,1125,262,1325,1816,2769,4448,1346,121,1220,1324,613,1773,620,2743,2187,2303,1943,2443,1089,1536,35552,0.47352314,0.00062473,0.48771441,0.00064054,0.38700652,0.00060223,0.3659007,0.00061405,0.46384675,0.00061088,0.44496571,0.00062258,0.52268677,0.00056436,0.51971349,0.00056656,0.44762185,0.00065677,0.7249083,0.00067916,0.49767984,0.00064173,0.4991317,0.00065209,0.49306192,0.00065641,0.47029359,0.00066266,0.46018761,0.00060196,0.45556172,0.00060309,0.36881806,0.00066253,0.38601232,0.00065586,0.48621782,0.00063573,0.46135073,0.00065707,0.46780007,0.00063004,0.50844296,0.00064752
33661,180,195,145,139,178,165,203,203,185,289,267,271,192,183,121,142,164,135,80,80,113,110,163,1022,302,1145,1186,1462,499,2895,3562,1394,31,810,939,576,1159,531,2800,2365,1474,825,602,3626,1256,30461,0.50880736,0.00061896,0.49815623,0.00064168,0.41898359,0.00059964,0.42750749,0.00058812,0.47617681,0.00058252,0.43347175,0.0005875,0.54946338,0.00052108,0.55639489,0.00052938,0.509329,0.00066932,0.60306156,0.00065623,0.52431664,0.0006361,0.47461394,0.00063684,0.51086094,0.00065176,0.47411495,0.00066125,0.47911948,0.00061648,0.50521409,0.00058158,0.41471154,0.00064972,0.4268635,0.00064654,0.44482777,0.00062488,0.4280434,0.000636,0.53199267,0.00061758,0.49701829,0.00064735
30864,213,205,154,147,204,187,218,217,173,276,295,294,217,228,132,158,146,148,66,95,116,109,169,1963,734,815,1318,2631,1851,2533,2324,767,85,1278,528,1000,955,2247,4327,1800,2496,1441,3748,1053,690,36584,0.48495088,0.00059332,0.47928033,0.00061934,0.34128323,0.0005696,0.3643276,0.00057873,0.49957627,0.00057818,0.51163893,0.00058743,0.52736668,0.0005284,0.52617714,0.0005631,0.45045384,0.00060784,0.66393688,0.00066253,0.54261652,0.00059863,0.557907,0.0006178,0.51365469,0.00063215,0.47329448,0.00064838,0.50468698,0.00057052,0.50302692,0.00057338,0.39726364,0.00061492,0.42731645,0.00062641,0.46663466,0.000619,0.47097962,0.0006244,0.46185875,0.00060664,0.47977338,0.0006261
25826,203,181.5,156,155,209,190,205,207,193,306,294,277,236,213,153,150,146,145,77,83,130,127,179,574,20,2256,3030,1751,791,2978,2812,986,95,1135,842,872,1497,1166,669,1272,1974,649,1319,672,314,27674,0.51419904,0.00060497,0.50811789,0.00062602,0.43104853,0.00057178,0.43635703,0.00057645,0.47661148,0.0005838,0.49106406,0.00059432,0.53665373,0.00051802,0.55365043,0.0005363,0.47107604,0.00061545,0.66117249,0.000686,0.52265563,0.00062978,0.49286461,0.00064224,0.47952544,0.00065479,0.51102103,0.00067321,0.47274315,0.00057386,0.51300004,0.00060237,0.41581594,0.00061911,0.43775989,0.00060234,0.49823056,0.00064916,0.47464565,0.00064066,0.51961736,0.00061567,0.52397134,0.00063214
31167,178,181,157,159,205,201,214,219,195,283,294,288,202,213,159,159,125,120,84,85,111,127,175,1435,1493,2144,3233,2182,1298,2400,3077,2975,254,734,735,211,511,1098,246,2613,2858,1788,304,1594,505,33688,0.50041808,0.00062477,0.4772582,0.0006377,0.42482451,0.00058623,0.40709634,0.00057836,0.50100916,0.00058107,0.46021171,0.00058606,0.55347158,0.00052006,0.51907658,0.00053074,0.45152603,0.00061446,0.65124985,0.00066025,0.47873097,0.00064642,0.48103864,0.00064051,0.47542738,0.00064993,0.51031349,0.00065125,0.47622677,0.00059391,0.47063514,0.00060307,0.39822334,0.00064845,0.40695763,0.00063833,0.42736367,0.00065261,0.40780189,0.00061207,0.47108158,0.0006291,0.47600195,0.00064962
20890,193,195,155,160,180,189,218,218,184,282,289,288,205,208,147,139,136,107,93,121,117,118,181,2997,1829,1041,645,1083,1469,1921,2273,1652,153,508,882,1321,890,844,2597,1587,2242,810,304,1158,476,28682,0.50256871,0.00066557,0.48488778,0.00067674,0.45984238,0.00068234,0.41440035,0.00070557,0.53251796,0.0007025,0.48389016,0.00070487,0.53540834,0.00062629,0.56698738,0.00061767,0.49392067,0.00073277,0.72189396,0.00070331,0.54346667,0.0007148,0.51218737,0.00071624,0.50722179,0.00074994,0.50850206,0.00074673,0.46899531,0.00065799,0.5079527,0.00063539,0.40184402,0.00075518,0.42324166,0.00075426,0.4721059,0.00066111,0.52662487,0.00068405,0.49542998,0.00066826,0.48317071,0.00068324
